,Id,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition
347,381,;rl<,>pave,REG;,Lvl,:allpub,?INSIDE,;Gtl,SWISU>,;Norm.,<norm,?1fam,<1.5fin?,?GABLE...,compshg<,?BrKFaCE,wd sdng!,>NONE!,:TA,TA!,Brktil,>ta,TA,>NO,...LWQ,Unf!,GASA!,TA	,Y...,SBrKR ,.gd,TyP>,:detchd,UnF<,	ta,...TA<,?Y ,wd...,;Normal
348,382,.fv,!Pave	,.Reg,LVl,!ALLPUB,	INSIDE,GTL...,:somerst,Norm!,Norm>,<1FaM,1STORY ,	GABLE;,:Compshg,!VinyLSD?,:vinylsd,!None?,GD...,ta;,PCONC...,gd	,:GD:,?No,Unf,unf, gasa	,:Ex, Y:,<sbrkr.,GD;,TYP.,attchd!,rfn;,;TA..., TA,>Y;,New?,ParTiaL!
349,383,rl?,PAVe	,IR1,...lvl ,!Allpub,>INSIDE,!GTL?,Collgcr>,...NOrm ,:norm	,1fam	,:2STORY,:gable:,:Compshg,;VINYLSD,vinylsd?,<NOnE,gd!,>TA,PCONC ,Gd...,?ta,Av , unf.,.unf,Gasa:,ex;, y:,;SBRkr,;gd,Typ,>Attchd,RFN...,TA	,...Ta,Y>,wd>,NORMAL
350,384,!Rh	,:Pave...,?REG,Lvl.,;allpub!,corner<,GTL,Sawyerw...,...NORM,NOrm.,1Fam<,1.5UNF ,...gable,	COMPSHG,Wd sdng;,.wd sdng	,	NoNE:,<Ta ,!ta,;BRKTIL,FA;,Fa:,...NO,;UnF,Unf...,Gasa;,Ta...,...N<,:Fusea!,TA ,:TYP>,>Detchd!,...Unf...,.fa,Fa...,?N,	WD<,;Normal
351,385,:rl,PAVE>,:ir2,<Low>,...ALLPuB, corner<,Mod ,Clearcr.,>feedr:,	Norm,...1fam.,2story.,GAblE,compshg, hdboard?,!Hdboard,>NoNE:,:GD	,>Ta;,:Pconc?,<GD,TA;,AV?,	GLQ,UNF?,?GaSA,EX!,Y:,SBRKR ,?GD>,>TYP,AtTcHd...,Fin!,;Ta,TA<,<y,;wd...,>NORMAL 
352,386,?RL...,>pave<,?REG	,;lvl,>AllPuB,InSIDE?,gtl,	blmngtn!,Norm:,NORM:,twnhse...,1STORY.,gable:,COMPSHG>,:VINYLSD,ViNYLSD...,Brkface?,?Gd<,?TA,Pconc	,Gd:,ta...,!NO,GLQ..., UNF , Gasa,EX?,Y...,...Sbrkr,:GD,TYP;,!ATTChd,!Fin,TA.,.ta?,Y>, wd,	NORMAL<
353,388,!RL:,	Pave;,;Reg?,;LVL.,Allpub;,Inside;,.GTL:,EDWARDS.,?Norm,NORM?,1FAM ,>slvl,.HIP,>COMPSHG,>Metalsd<,<metalsd?,>brkface,?Ta,:ta,cblock ,TA.,Ta?,AV;,Alq	,...Unf,!GASA.,ex:,Y!,sbrkr,<Ta,TYp>, Detchd,<Unf,Ta<,	TA<,Y,wd:,?Abnorml
354,389,:RL	,>pave, Ir1<,LVL:,;ALLPUB?,;Culdsac,!Gtl,CoLLGCr.,>NORM ,	NORM>,?1fam,1story?,GablE!,	Compshg,.VINyLSd,;VINYLSD,brkface...,>Gd,...Ta>,?PCONC:,:GD,TA:,.NO;,Unf...,UnF;,GASA;,Ex:, Y!,<sbrkr	,;GD:,:typ.,ATTCHD<,Rfn.,!TA,	TA,?Y,!WD.,	Normal
355,390,>RL,!Pave,	REG>,?lvl,AllPUB...,	inside,GTL,Nridght:,NORM ,>Norm,?1FAM	,	2story,GABLE,COMPSHG ,VINYLSD?,...VINYLSD!,...STOnE.,Ex!,<Ta,...Pconc,:ex...,:Ta,>Av!,.Glq,>unf,?GAsA,ex...,Y ,SBRKR;,EX,TYP ,<builtin...,;FIn;,TA?, Ta,>Y,NEW.,...PARTIAL
356,391,	rl ,PAVE,<Reg,...LVL	,	allpub,?INSIDE?,Gtl,!Edwards,>NorM<,NORM?,1fam...,	1.5Fin,!gable>,...COMPSHg,;metalsd<,...Metalsd!,>None;,?ta<,;Ta?,	Brktil,:Ta,?Gd,>No , REc,Blq,<gasa;, Ex,Y>,SBRKR!,;ta...,TyP,	detchd,?unf,!Ta	,<ta:,Y?,	WD,>NOrmAl
357,392,RL:,...pave!,?Ir1,Lvl:,	allpub	,	culdsac,!Gtl,;MITchEl,<NorM.,NOrM ,:1fam, 2story;,Gable:,!compshg<,>VINYLSD	,Vinylsd	,!NONE,TA<,TA:,PCoNC...,	Ex;,TA!,NO...,<ALQ, UnF!,...GASA,EX;,Y ,!SBRKR,;GD,typ,builtin...,;FIn.,<TA>,TA	,.Y,.WD!,normal!
358,395,?RL:,PAVE<,REG>,...LVL,;ALLPuB,!inside,:GTL,OLdTOWN.,?norm<,.NORm,...1fam, 1.5FIN	,Gable...,	COMPSHG,;METALSD, MeTAlSd?,?None,TA>,	TA, CBLOCK;,	Ta,	ta,>No,:UNF,:UNf;,<gasa<,.GD<,Y, FusEA,TA.,typ!,>Detchd,UNF ,;ta;,	Ta,>Y;,WD.,NORMAL>
359,396,:Rl>,;Pave;, reg,lvl...,?AlLPub?,.inside, gtl, Edwards,norm?,norm?, 1FaM,?1story,!Gable,.COmpSHG...,	Wd Sdng,:Wd SDnG?,	None,ta:,ta>,...cblock,!TA.,TA.,...av,blq?,...unf,GASA,;TA,?Y,<SBRKR,	TA, TYP>,:attchd;,:Unf	, ta,!Ta.,:y?,<WD,	Normal 
360,397,	RL,	PAVE?,	reg,.LOW,>allpub:,!INsIdE<,.GTL<,COlLGCR	,>NORM,...NORm,...1fam,1StorY...,<hip,;compshg,>MetaLSd,>Metalsd ,none<,>TA, ta?,CBLOCK!,TA>,TA	, Av,!REC,Unf:,	GASA,	ta,...Y,SBRKR?,Ta...,typ	,DeTCHd<,Rfn,;ta>,<ta,;Y	,WD,	NORMAL	
361,398,!RL,PAvE.,...Reg,	LVl.,allpub?,Inside<,<Gtl, NAMES,Posn:,NorM!,1FAM>,.2story,?gable,?COMPSHG,VINYLSD,<VINYLSD,brkface!,ta!,TA<, CBLoCk,;ta...,Ta:,.No,Alq ,UNF>,Gasa;,:Ta<,Y ,...SBRKR	,:ta,TYp:,;ATtchD ,	RFN	,TA,...TA,!Y?,	WD,Normal...
362,399,.rm>,Pave:,	REG, Lvl,	Allpub,!corner;,GTL!,	idotrr>,?NORM, NORM	,1FaM!,...1story!,;gable!,!compshg,MeTAlSd>,;Metalsd,>none,...Ta,fa;,!BRKTIL,FA!,po,No>,UNF.,>unf>,Gasa ,>gd,?y,;MIX,...TA,	MaJ2,DETCHD?,	unf,Po,po	,>N,.WD,...Abnorml
363,400,<fv...,<pave!,!REG,lvl,ALLPUB<,INSIDE?,GTL>,<SOMERST!,NorM	,NORM:,1fam ,2STORY>,;gable,...compshg>,...Cemntbd,CMENTBD>,	STONE.,GD<,.TA!,PCONc>,>GD ,...TA, No...,:glq,UNf.,<Gasa,EX!,:Y;,Sbrkr,GD:,	typ...,.attchd.,FIN!,TA...,TA<,.Y,;WD,normal:
364,401,RL.,?pave?,	IR2,	lvl,!ALLPub,inside<, GTL,Veenker ,Norm,norm:,TWNHsE;,	1story...,<Gable,COMPSHG.,?BrKFaCE!,Brkface!,None...,Gd ,Ta...,...PCONC ,Gd,ta	,NO;,?glq	,!unf:,:GASA,:Ex:,y>, sbrkr ,ex>,:Typ;,!ATTCHD,fin...,>ta?,?TA,?Y,;WD,normal<
365,402, RL:,PavE>,>IR1>,.lvl,...ALLPUB...,.inside:,GtL	,collgcr<,?Norm ,NoRM ,1FAM!,...1story,gable...,COMPSHG.,VINYLSD...,<VINYLSD?,>None,Gd...,Ta?,Pconc>,;Gd,Ta ,AV	,;GLQ,UNF<,GASA:,Ex.,Y.,;SBRkr,gd>,!typ ,AttcHD!,fin,Ta>,ta!,;Y...,New?,<PARTIAL
366,403,;rl,!PAVE?,?REG.,...LVl., Allpub,:INSIDE,Gtl?, sawyer,NORM?,<Norm,1Fam?,1story!,>Gable,...compshg,WD SDNG ,!WD SDNG>,NONE!,TA?,>TA,PCOnC;,!ta ,.TA.,No?,Unf<,:UNF?,...GASA,.EX?,;Y, SBRkr,...Ta ,>Typ, detchd,:Unf	,:TA:,	TA,<N,Wd ,?NOrmAL
367,404,!RL...,pave:,.REg,...Lvl., allpub?,corner;,.Gtl,?noridge,Norm:,>NORm:,.1fam,!2STORY ,:Hip!, compshg.,!ViNyLSD...,<VINYLSD	,?Brkface, Gd.,...ta<,PCOnc,?GD<,TA:,	NO...,UnF,Unf>,	GAsA;,...GD>,Y...,<SBRKR,...GD!,>Typ,BUILTIN...,Fin!,!TA:,!ta,	y..., WD...,...ABNoRmL
368,405,	rl>,!pave?,...Ir1,lvl;,!Allpub!,InSIDe>,!gtl ,;Gilbert,NoRM>,...NORM,<1FAm ,.2StOrY,gable.,COMpShG...,MEtAlSd...,<METALSD...,none...,TA...,Ta:,:PCONC	,GD>,.ta,NO...,...Unf!,unf.,...gasa,Gd ,:Y?,!SBRKR>,ta<,TYP,.Builtin ,.Fin,TA:,ta,Y<, wd,<Normal;
369,406,Rl	,Pave...,:ir1,LVL>,?ALlPUB<,corner,!gtl ,?Sawyer<,Feedr, NORM	,>1FAm...,1SToRY.,>gable, Compshg.,plywood., PLYWOOD,	None,ta:, TA,cblock>,TA.,:ta,;NO,blq:,:Unf:,GASA...,Ex?,Y<,Sbrkr...,!TA,;min1<, ATTCHd;,...UNF ,?TA,Ta!,>Y,wd	,NORMAL?
370,407,...rl>,PAVe>,Reg...,Lvl,:ALLPUB,;inside,GtL?,;Swisu?,NORM ,>NORM:,1fam.,1.5fin,!GABLE,<ComPSHg,<METALSD,METALSD,.None<,?TA,!ta.,.brktil,<ta,ta,<No,Unf>,Unf>,GASA:, EX>,Y.,fusea?,ta,MAJ2,...Detchd,UNF;,TA:, ta,Y?, WD,NormAl	
371,408,>RL,PAVE	,.REG	,!LVL?,Allpub., inside,Gtl.,	Crawfor;,NoRM ,>Norm,1Fam:,2story	,;gable,!compshg, WD SdNg!,!Plywood,none,>TA,<TA ,>brktil, GD<,Ta ,;no,...unf>,?UnF,;Gasa	,>ex!,...Y.,SBrKR<,TA	,typ:,?attchd,>Unf,	TA	,ta<,Y;,;WD,<NOrMAl
372,409,...Rl	,?pave,reg ,!Lvl!, ALLPUB<,.Corner,<gtl:,	nridght?,NORM,Norm ,1fam...,.2STORY,!Gable,COmPShg!,Vinylsd., VINYLSD,BRKFACE ,?GD<,ta<,PCONC!,!EX...,GD, NO,!UNF,>Unf>,.Gasa,.ex>,!y.,SBrkR!,gd ,	Typ,.AtTChD,	RFN,ta<,<TA.,.Y,NEW,partial:
373,410,FV<, Pave,REG	,.LVL?,<ALLPUB<,<INSIDE?,<GTL,somerst ,!NorM,<Norm...,!1FAM:,.2STORY,gable	,	Compshg,>VINYLSd,?VINYLSD,STONE	,GD.,<TA,;pconc,ex!,:ta<,no:,!Glq!,	unf	,gasa...,:ex ,>Y, SBRKR,;EX:,<Typ<,attchd ,<fin;,Ta,>TA<,:Y,New<,partial?
374,411,RL	,PAVE!,REG<,lvl ,ALLPUB<,Inside.,!Gtl?,.edwards,?NORM ,...NORM,?1FAM.,...1STORY;,GABLE;,	COMPSHG,:BRKCOMM,!Brk cmn	,:NONE,.TA, FA,CBlock?,TA.,!fa	,no	,!UNF,>Unf,	Gasa,ta ,<Y,FUSEA:,:Ta,:MOD,...attchd,Unf , TA,TA!,y:,...COD...,:ABNORML:
375,412,RL ,Pave.,!Reg,BNK!,	allpub>,	inside;,:GTL,...gilbert,;norm>,...NORM,.2fmcon,1story.,>Hip.,compshg;,WD SDnG?,...Wd sdng!,none:,TA!,<TA;,cblock<, Ta,<TA;,.Mn>,REC:,UNF?,GASA.,TA?, N, SBRKR, Ta:,<typ>,ATTCHD:, fin?,?TA!,>Ta ,:Y;,:WD,...Normal!
376,413,fv	,PAVE!,;IR2...,...Lvl:,ALLPUB...,INsIDe<,:GtL,	Somerst?,...NOrm,norm...,	1fam?,1StORY>,Gable?,!COMPSHG>,;Metalsd;,...metalsd.,...stone<,EX	, Ta,:pconc...,EX:,ta.,.Av<,!Glq...,UNF...,.Gasa,EX...,.Y<, sbrkr;,Gd,:TyP,	ATTCHD,.FIn,ta:,TA...,?Y,new...,partial
377,414,RM,PAVe!,<REG...,Lvl:,<allpub., inside,	Gtl	,<OLDTOWN;,ArteRy	,!NORM,!1FaM,	1StOry,	gable	,compshg,wdshing:,<WD SHNG,none:, TA,:ta;,cblock,Ta?,:TA,>No!,!Unf:,<UNF!,GAsA	,.GD,Y	, FUSeA;,!Ta...,;Typ,detchd.,?unf,!ta,!ta>,y?,<WD,?NOrMAL
378,415,RL:,...pave,ir2,	lvl;,;allpub...,.Culdsac,.Gtl?, SAWYERW?,;NORM,NoRM>,>1fam>, 2STORY.,Gable...,:CoMpSHG,...VINYLSD!,VinYlSd,<None,<gd...,ta,Pconc<,gd...,>TA, NO,:BLQ,glq...,<GASA?,Ex!,Y,>Sbrkr!,.gd,;Typ?, ATTCHD	,.UNF,ta;,Ta,Y,:WD,;normal
379,416,?Rl<,>Pave,!ir1,LVL<,allpub,;INSIDE,!GTL.,!GILBERT ,NorM,:Norm,?1fam, 1SToRy...,<Gable!,:CompSHG,>VINYLSD,!Vinylsd,.none,Gd	,Ta:,Pconc<,	GD ,;ta,AV:,<Glq!,UNF	,gasa,?ex:,>y	,>SBrkR,<gd,Typ>,attchd;,...FiN,ta;,TA,<y	,?New>,<Partial...
380,417,Rl.,;PaVe;,ReG<,.Lvl,?Allpub;,?inside,...Gtl:, SAWYER>,NoRm.,:Norm,;1fam,	2story.,	hip>,!COMpShG!,.hdboard<,hdboard,...BrKFACe,TA;,!ta?,CBLoCk>,:TA>,TA;, no,alq!,Unf...,:gasa	,!TA,?Y?,?SBRKR,	ta	,?TYP>,	Attchd,...Fin,;TA,Ta	, Y>, wd, normal
381,418,?Rl,;PAvE,IR1>,LVL,AlLPuB	,inside;,;gtl, crawfor>,<FeedR,!norm	, 1fam,2StOrY?,hip;, COMpSHG,!WD SDNG,!Stucco.,.NONE,:TA, Ta,;Brktil,>GD ,	TA,NO?,	blq	,...Unf!,Gasw?,<Ta,N,<Fusea,;ta,	typ, Detchd,unf,	TA,TA!,...N;,:wd	,:normal
382,419,;RL!,PAVE:,Reg!,LVL;,	allpub,INSIDe;, gtl>,edwards:,norm<,:Norm,>1fam ,1.5FIn:,...gable?,	COMPSHG?,Metalsd.,metalsd.,None,;TA,	TA	,?brktil,.TA<,...TA,no	, ALQ,>unf;,Gasa;,FA:,>N,<FUSEF?, TA,>Typ ,DETcHd>,;UNF>,ta>,Ta:,P?,WD,>adjland	
383,420,RL;,PAVe?,:REg,lvl:,<Allpub..., INSIDE,.GTl,:names.,NoRM...,;Norm,<1fam,:1STORY,Gable	,.COmPShg,;vinylsd,VINYLSD ,...NoNe,.TA,:ta,CBLOCK.,ta<,Ta,.NO , blq,<Unf,;GASA...,Ex...,;y,;sbrkr.,.Ta...,:TYP...,Attchd;,.unf>,ta,...Ta,:Y>,;wd>,;NORMAL;
384,421,	RM,<pave.,REG ,>Lvl,<Allpub,Inside.,GTL;,Mitchel.,Norm...,norm,DUPLex,.SFoyeR<,GabLe?,...COMPSHG,?vinylsd<,Vinylsd;,brkface;,;Ta.,Gd>,PConC;,<GD>,<Gd...,Gd:,	GLQ>,<unf	,	Gasa, ex,y, Sbrkr:,ta>,TYP>,attchd<,FIN?,:TA!,<TA,;Y,:wd<,?ALLOCA
385,422,.RL ,...pave	,?IR1,...LVL	,...Allpub,?FR2,GTL:, NWAMES,norm<,NOrm...,:1fam?,>1story,GablE...,	COMPShG<,...Cemntbd,:CMEntBd...,stone...,!Gd,ta , CBLOCK,>gd,...Ta,!NO!, ALQ<,unf>,?GASA,gd?,<Y!,;sbrkr,gd...,	TyP,>attchd:,>Fin;,...ta,:TA	,Y;,	wd,:NORMaL
386,423,RL<,PavE.,REG,<HLS,	allpub,<inside,.mod;,.Mitchel>,ARTERY., Norm,...1fam!,1STORY>, Hip,>COMPSHG,hdboard...,.Hdboard.,?NoNe ,;TA,;TA.,Cblock...,Ta,	Ta,NO;,UNF;,Unf<,>GASA , Ex,Y.,FUSeA:,	TA!,<TYP.,?attchd,RFN	, TA., TA,N;,?wd;,Normal:
387,424,RL,?Pave	,?reg.,.Lvl<,	allpub	,:INSIDE,gtl	,Noridge>,NoRm>,Norm	,1fam<,:2story;,gable:,COMPSHg;,?vinylsd, VINYlSD,BRkFAce	,GD;,TA...,PConC:,Gd	,	TA<,No:,!GLQ,?unf,	GASA;, GD.,Y , Sbrkr<,	GD;, TyP,attchd:,fin	,TA ,.Ta,.Y,	WD;,;NORMAL
388,425,rl;,Pave	,	REG,Lvl,AllPUb ,Inside ,!gtl:,!NAmEs,!Norm,Norm ,1fam., 1StoRy:,GAbLe;,<COMPShG>, WD SDNG	,.wd sdng,!BrKFaCE,Ta,<TA,CBLOCK<,Gd?,?TA,.NO,!LWQ ,!UnF:, GASA;,;Gd:,!y!,.FUSEA,>TA,:Typ ,;AtTcHD,Rfn!,;TA,TA!,	Y?,wd:,.NORMAL
389,426,RM:,.Pave;,!REG.,	HLS,allpub<,INSIDE?,Gtl ,Oldtown ,NoRM,Norm.,1FAm,?2STORY<,Gable;,COMPSHG!,HDBOARD	,?Hdboard;,NONE,...ta ,.GD!,CBLOCK	,Ta:,TA:,.NO,	UNf:,UnF?,.GASA,gd:,;Y,Sbrkr...,TA,?typ	,	Detchd,unf,;TA,...Ta,p;,WD!,...normal...
390,427,Rl ,>pave,Reg>,Low ,	Allpub, InsIDE...,>MOD	,:SAWYerW,>Norm,;Norm,1fam!,...slvl,...GABLE,COMPSHG?,.WD SDNG,...Wd sdng,>brkface ,!Gd,...Ta,PCONC;,;GD?,;TA?,gd;,>glq,.Unf<,.GASA!,GD,y:,<Sbrkr	,>gd,TYP ,Attchd!,Fin;,	TA,Ta;,y!,Wd:,	Normal
391,428,Rl;,<PaVE:,IR1,;lvl.,;Allpub,;InsIDE,!GtL!,;NAMeS...,NORM:,?norm	,;1fam,.1story,Hip	,compshg, metalsd>,;metalsd?,.none,:ta!,!ta,;CBlOcK!,ta?,Ta:,no	,?Rec:,unf:,Gasa:,ex...,y<,Sbrkr?,<TA,:Typ,DEtCHd<,UNF>,:TA?,!Ta:,!Y,WD;,...Normal
392,429,rl?,...Pave,REG<,.LVL,Allpub.,;inside,Gtl;, collgcr,NorM,<NORM<,;1FAm;,...1STORY.,GABLE,;COMPSHG;,:ViNYLSd,Vinylsd!,BrkFAcE ,Gd>,!Ta,;PCOnc...,;Gd,:TA:, NO,.glq,unf.,	gasa.,:Ex,<Y,SBRKR ,GD<,Typ ,attchd!,...RFN>, Ta!,?Ta...,!Y,new>,:PARTIAL	
393,430,;RL<,pave:,Ir1>,?Lvl,;ALLPUB<,CORNEr ,gtl ,>Timber,	Norm,norm	,1fam,.1STorY,!GABLE ,<compshg:, HDBOARD ,<Hdboard<,NONE...,!Ta?,!ta,CBLOCK<,:GD...,TA>,...Mn>,GLQ;,UNF,	Gasa,...ta,.Y,;SBRKr ,...Gd,.Typ,...Attchd,;UNF?,...TA,:ta?, Y,<WD,normal:
394,431,:RM ,pave:,<reg,...LVL<,Allpub>,:inside ,GTL?,	BRDALE?,norm,Norm;,Twnhs	,>2story,>Gable,COMPSHG;,Hdboard	,	Hdboard?,!BRkFAce!,.ta,?TA?,CBloCk<,?Ta,:TA	,;No,	alq,...unf,Gasa:,Ta, Y,	sbrkr?,:Ta,?Typ	,detchd,UNF, Ta,<Ta,Y?,.Cod;,!abnorml.
395,433,!RM,.Pave!,>ReG...,Lvl,:ALlPUB,INSIDE,...Gtl:,>BRDAlE,NOrM.,NORM,twnhse<,>2story,?GABLE	,compshg.,Hdboard.,HDBOARD	,<brkface ,;TA<,?TA,CBlOCk<,...ta>,;ta,No!,ALQ,...UNF:,;gasa.,;Ex!,Y!,.SBRKR,TA.,...Min1,	DETChD..., Unf>,>ta,TA,y,WD,normal	
396,434, rl?,Pave...,Ir1.,	lvl!,;AlLPub,<corner?,.GTl,<Gilbert!,;norm!,Norm?,...1fam,...2story>,<Gable., Compshg ,...VInylSD ,!VINYLSD;, None!,TA	,...ta:,pconc;,	gd,!TA,NO:,>unf,	unf ,...Gasa,EX ,;Y,SBrkR!,Ta>,TYP ,<Attchd,fin	,TA...,TA ,Y ,WD	,:NORMAL...
397,436,!Rl,PAVE,IR2...,LvL	,?Allpub,...CULDSAC!,;Gtl?,ColLgCr ,posn>,norm>,:1fam:,?2story,?GAblE ,!compshg,<Vinylsd:,VINYLSD:,NoNE..., GD	,;ta,.Pconc,gd!,TA?,AV	, GLQ,...ALQ!,?Gasa,EX	,Y.,.Sbrkr,gd!,	typ>,.Attchd!,RFn?,	TA ,Ta?,y	,CONLW>,...NORMAL	
398,437,rm:,.PaVe..., ReG...,Lvl.,:allpub,INSIDE:,;gtl<,OLDTown<,Norm...,...NORM:,;1FAm...,1.5FIN;,GAble?,>CoMPShG;,;STUCCO?,!StuccO,?NONE,TA!,?ta,BrkTil	,...fa,:TA,.No,UNF,	UNF,>Gasa,TA<, Y,;FusEA?,ta:,TYP,DETCHD<,.unf?,TA, Ta,Y<,Wd;,.Normal<
399,438,:RM,...PAVE...,>reg ,>LVl,?allpub<,inside.,:Gtl,	brkside,	norm,<NORM,;1FAM,1.5unf ,GaBlE	,compshg	,wd sdng...,	wd sdng,NONE ,...gd,Ta	,.pconc;,;Ta?,TA!,>NO.,.UNF	,;unf,	GASA,...Gd>,.Y<,	SBRKR<,Ta.,<typ	,DetchD.,>unf,TA ,	TA,y>,WD ,normal>
400,439,?RL,pave	,reg;,.Lvl ,:allpub,?Inside,GTL!,?crawfor,NOrm,.NORM,?1fam,!1STORY.,Gable,Compshg	,>wdshing,?StuccO...,:NOne.,TA,Ta<,PConc:,<Ta<,TA.,No	,?Lwq,Unf...,	GASA?,ta	,N>,SBrkr	,?Gd;,?TYP.,DETCHd<,<Unf!,GD,Ta:,P?,WD, NORMAL
401,440,Rl,.pave?,reg...,Lvl	,<ALLPUB,corner;,...gtl,!EdWARds,>Norm>,.NoRm,?1fam!,:1.5FIN, GABLE,<Compshg,<wd sdng,WD SDng	,:NONE,!TA,.Ta?,BrkTIL:,TA;,...Fa<,MN	,UNf:,UNF	,...Gasa<,?GD	,	Y?,>SBRKR ,Gd,:typ,;DETCHD>,.Unf, ta.,.Ta, y;,<ConLI,;NoRMaL
402,441,<RL...,:Pave,>ReG,lvl;, Allpub,>Inside,GTL,nridght:,;NOrM...,norm<,>1FAM,!1story,>HIP,!COMPSHG?,VINYLSD	,:VINYLSD,.stone,.EX!,>Ta...,;PCONC,?ex, ta>,!Gd,.Glq<,>Alq.,GASA.,!ex, Y,?SBrkR.,...EX,typ:,ATtcHd,FIN>,Ta ,!Ta.,y, WD,:NORMAL
403,443, rm<,<PAVE,REG.,?lvl:,ALLPUB.,>Inside, gtl,BRkSide?,NORM.,.NORM,<1fam>,	1.5FIN,...Gable,...COMPSHG,:Metalsd,<METALSD>,NONE<,	TA!,TA,:Pconc,...TA,Ta ,No<,.unf,	UNF,:GASA, Ta,Y?,;SBrkr,>Ta!,typ;,...DEtchD,<UNF,:TA!,.TA,P,	Wd,...normal	
404,444,.Rl	,?pave,	Reg!,!LVL,!ALLPUB!,;inside:,GTL!,:BLMNGTN,<NORM>,...NOrm ,twnhse...,...1STOry!,:gable,:compshg.,<WDSHInG,	WD SHNG,<BRKFACE?,!Gd>,Ta.,:PConc!,Ex.,!TA.,AV ,	UnF	,>unf,gasa	,	ex,;Y, SBRkR,.GD,TYP:,.ATTCHD,fin?,.TA,TA>,>Y!,new,!PARTIAL
405,445,RL!,PAVE!,reg>,;Lvl!,Allpub<,;INSIDE>,!GTL,;Collgcr,>NORM	,<NORM!,>1FaM,>2story,>gable:,	compshg,?VInyLSd,Vinylsd.,	None,Gd ,!GD,?Pconc:,Gd, TA,NO;,GLQ.,UNF...,?GASA,...Ex...,>Y,...SBRKr,GD;,typ<,ATTCHD ,	UnF,.ta	,TA...,y>,Wd.,:NORMAL
406,446,;rl,...PAVE,	Reg<,>Lvl>,Allpub>,corner<,gtl,>edwards,	NoRM;,...NORM,	1FAM!,<1StOry...,HIP?,compshg.,WD SDNG?,.WD SDNG	,!None,Ta,!ta>,Cblock,;Ta,TA!,<no.,	UNF.,unf., GASA,FA?,Y<,<sbrkr,Ta...,Typ!,ATtCHD?,unf...,Ta:,>Ta,;Y...,COD...,	NORMAL
407,447,	rl, Pave,IR1:,	Lvl,allpub ,;Corner,?Gtl,NAMES!,PosA<,NorM!,...1fam<,1STORY,:gable,;ComPShg,BRKFACE<,>PlYWOod,	NoNE,gd,	ta,CBLOCK!,ta<,>Ta,?No,;ALQ!,REC<,:Gasa,...Ex!,...y,...Sbrkr...,Gd	,	MOD	,attchd ,fin	,TA,ta...,Y<, Wd:,.NORMAL;
408,448,RL!,:PAVE?,IR1!,!lvl,allpub>,CORNER	,<Gtl,Gilbert>,:norm,norm!,1fam>,2STORY!,GABLE	,COMPSHG, VINYLSD;,>vinylsd,;None ,:Gd,;TA!,	PCOnC,?Gd>,ta;,:No,	Unf:,>Unf,?Gasa,:GD,.y,...Sbrkr!,;Gd;,TYP , AttchD:,<fin!,!ta,?ta;,;Y,wd...,<NORMal
409,449,	rm;,.Pave.,;reg,Bnk,Allpub	,InSiDE!,?gtl,	IDOTRR,NORM:,?Norm,1fam,1.5FIN,.Gable?,compshg	,<MetaLSd,METALSD.,.none,ta , TA,...BRKTIL:,?ta?, TA,>no:,unf ,;UNF, gasa ,?Ta,!Y	,;Sbrkr>,<TA,TYP>,...DeTchD,>UNF.,ta;,<TA;,.n...,	Wd,.NORMAL
410,450,>RM,:Pave	,REG...,?LVL,allpub ,Inside,gtl..., oldtown!,NoRm;,norm,;1fam,1.5fin,Gable<,?CoMPShG:,METALSD?,>Metalsd,None>,>TA:,	GD;,?Cblock ,.TA>,ta,?NO,>Alq?, Unf,.Gasa;,Ex...,.Y,?sbrkr;,;ta,.TYP,DeTCHD<,UnF<, TA,	ta,?Y,.wd,?NORMAL>
411,451,;Rm?,?PAVE	,reg>,LVL>,Allpub<,...inside?,gtl!,.OLdTOwn,;Norm,;NORM,1Fam?, 1STORY,Hip>,?compshg,.WD SDNg,Wd sdng;,:NONE,;Ta:,Ta ,BRkTil ,ta...,	Ta,>no,unf...,Unf;,!gasa,Ex., Y!,	FUSEA,gd:,typ,detchd>,unf;,!fa?,...Fa<,N?,WD<,>normal!
412,452,!RL,PAVE;,IR1<,	Low,:ALlPub,>Inside,MOD...,:clearcr,>NoRm...,NorM<,1fam,	1story.,<GABLE, WDSHNGL,!PLYWOOD., plywood?,?none ,>TA>,TA>,:Cblock,GD ,	ta,;Gd,?Alq,?UnF, Gasa,?TA>,.Y:,SBRKR,...Gd,;typ,;AttChD,<UNF,;TA,...Ta,	y ,WD?,Normal!
413,453,...Rl,pave...,?Ir1,LVL;,	allpub<,:corner!, GTL:,?Timber,	NORM;,	NOrm.,1fam:,!2STORY...,>hip<,<Compshg:,VInylSD ,vinylsd,...BRKFACE,;GD	,?TA...,;PCONC>,EX...,<TA.,...no,?alq..., UNF,	GasA, Ex!, Y,Sbrkr...,ta	, TYP	,ATTCHD ,.Fin>,?ta,	Ta?,y,!wd!,normal!
